template,field_id,metric_id,adapter,implementation,outcome,evidence,blocker,note,within_template_observations,within_template_present_pass,within_template_present,within_template_entities
liquids,liq_noncarrier_property,liq_noncarrier_property,liquids_xbrl,implemented,implemented_retrieved_validated,23 validated + 0 flagged values across 28 entities,,role=profile; regimes=Form 6,55,23,23,28
liquids,liq_oil_price_index,liq_oil_price_index,elibrary_docs,not_implemented,not_implemented_unfinished_work,"28 observations, none in a recognised terminal state",,role=detail; regimes=eLibrary document,28,0,0,28
liquids,liq_operating_expenses,liq_operating_expenses,liquids_xbrl,implemented,implemented_retrieved_validated,483 validated + 0 flagged values across 28 entities,,role=headline; regimes=Form 6;Form 6Q;Form 6Q,483,483,483,28
liquids,liq_operating_margin_pct,liq_operating_margin_pct,liquids_xbrl,implemented,implemented_retrieved_validated,483 validated + 0 flagged values across 28 entities,,role=headline; regimes=Form 6;Form 6Q,483,483,483,28
liquids,liq_operating_revenue,liq_operating_revenue,liquids_xbrl,implemented,implemented_retrieved_validated,483 validated + 0 flagged values across 28 entities,,role=headline; regimes=Form 6;Form 6Q;Form 6Q,483,483,483,28
liquids,liq_opex_per_barrel,liq_opex_per_barrel,liquids_xbrl,implemented,implemented_source_blank_or_not_required,"471 observations across 28 entities, all recording an evidenced source condition (blank, nil, not required, not applicable or not yet due)",,role=conditional; regimes=Form 6,471,0,0,28
liquids,liq_revenue_per_barrel,liq_revenue_per_barrel,liquids_xbrl,implemented,implemented_retrieved_validated,55 validated + 0 flagged values across 28 entities,,role=conditional; regimes=Form 6;Form 6 Page 700,110,55,55,28
liquids,liq_trunk_revenue,liq_trunk_revenue,liquids_xbrl,implemented,implemented_retrieved_validated,49 validated + 0 flagged values across 28 entities,,role=detail; regimes=Form 6,55,49,49,28
liquids,p700_barrel_miles,p700_barrel_miles,liquids_xbrl,implemented,implemented_retrieved_validated,55 validated + 0 flagged values across 28 entities,,role=detail; regimes=Form 6 Page 700,55,55,55,28
liquids,p700_capital_structure_debt,p700_capital_structure_debt,liquids_xbrl,implemented,implemented_retrieved_validated,55 validated + 0 flagged values across 28 entities,,role=detail; regimes=Form 6 Page 700,55,55,55,28
liquids,p700_capital_structure_equity,p700_capital_structure_equity,liquids_xbrl,implemented,implemented_retrieved_validated,55 validated + 0 flagged values across 28 entities,,role=detail; regimes=Form 6 Page 700,55,55,55,28
liquids,p700_depreciation_regulatory,p700_depreciation_regulatory,liquids_xbrl,implemented,implemented_retrieved_validated,55 validated + 0 flagged values across 28 entities,,role=detail; regimes=Form 6 Page 700,55,55,55,28
liquids,p700_income_tax_allowance,p700_income_tax_allowance,liquids_xbrl,implemented,implemented_retrieved_validated,53 validated + 0 flagged values across 28 entities,,role=detail; regimes=Form 6 Page 700,55,53,53,28
liquids,p700_interstate_operating_revenue,p700_interstate_operating_revenue,liquids_xbrl,implemented,implemented_retrieved_validated,55 validated + 0 flagged values across 28 entities,,role=detail; regimes=Form 6 Page 700,55,55,55,28
liquids,p700_original_cost_rate_base,p700_original_cost_rate_base,liquids_xbrl,implemented,implemented_retrieved_validated,55 validated + 0 flagged values across 28 entities,,role=detail; regimes=Form 6 Page 700,55,55,55,28
liquids,p700_return_component,p700_return_component,liquids_xbrl,implemented,implemented_retrieved_validated,55 validated + 0 flagged values across 28 entities,,role=detail; regimes=Form 6 Page 700,55,55,55,28
liquids,p700_revenue_less_cost_of_service,p700_revenue_less_cost_of_service,liquids_xbrl,implemented,implemented_retrieved_validated,55 validated + 0 flagged values across 28 entities,,role=headline; regimes=Form 6 Page 700,55,55,55,28
liquids,p700_revenue_to_cost_ratio,p700_revenue_to_cost_ratio,liquids_xbrl,implemented,implemented_retrieved_validated,55 validated + 0 flagged values across 28 entities,,role=headline; regimes=Form 6 Page 700,55,55,55,28
liquids,p700_throughput_barrels,p700_throughput_barrels,liquids_xbrl,implemented,implemented_retrieved_validated,55 validated + 0 flagged values across 28 entities,,role=detail; regimes=Form 6 Page 700,55,55,55,28
liquids,p700_total_cost_of_service,p700_total_cost_of_service,liquids_xbrl,implemented,implemented_retrieved_validated,55 validated + 0 flagged values across 28 entities,,role=detail; regimes=Form 6 Page 700,55,55,55,28
liquids,p700_trended_original_cost_rate_base,p700_trended_original_cost_rate_base,liquids_xbrl,implemented,implemented_retrieved_validated,55 validated + 0 flagged values across 28 entities,,role=detail; regimes=Form 6 Page 700,55,55,55,28
liquids,p700_wacc,p700_wacc,liquids_xbrl,implemented,implemented_retrieved_validated,55 validated + 0 flagged values across 28 entities,,role=detail; regimes=Form 6 Page 700,55,55,55,28
liquids,rate_case_status,rate_case_status,elibrary_docs,implemented,implemented_retrieved_validated,18 validated + 0 flagged values across 97 entities,,role=headline; regimes=eLibrary document,57,2,52,28
liquids,rate_effective_date,rate_effective_date,elibrary_docs,implemented,implemented_retrieved_validated,16 validated + 0 flagged values across 97 entities,,role=detail; regimes=eLibrary document,54,1,1,28
liquids,refund_exposure_window,refund_exposure_window,elibrary_docs,implemented,implemented_retrieved_validated,3 validated + 0 flagged values across 69 entities,,role=conditional; regimes=eLibrary document,28,1,1,28
